,Hue Angle,PSE,JND,PSE_err,JND_err,condition,subject,trialN
5,247.5,-0.24855332816989784,4.447109277445339,0.2074634599273444,0.35190193728987595,LL,s5,240
5,247.5,-0.07821981349071853,3.1273551978260996,0.1589395470019851,0.2834751551209156,LL,s6,240
14,292.5,-0.6099871237900585,5.060342136864291,0.44092503032689645,0.811823165797992,HH,s1,240
14,292.5,-0.5619096048324281,6.941321959319679,0.48590935295104665,0.8216168652146634,HH,s2,240
14,292.5,-0.19779762927738104,12.227701595126566,0.7023236164879955,1.589107321132245,HH,s3,240
14,292.5,0.03254045702087304,6.344321932758432,0.4533607362561651,0.8778759992833199,HH,s4,240
14,292.5,-0.8883424635638139,7.941660241671479,0.4689657970229826,0.8744118127077067,HH,s5,240
14,292.5,-0.7713158940975477,7.258862945742507,0.30849532732442847,0.5429274735969102,HH,s6,240
22,292.5,0.3603680006731557,3.3859599645065885,0.23080919643026324,0.4316664726456013,LH,s1,240
22,292.5,-1.5829898348268447,5.206292544798286,0.3427079385680034,0.4806572492248625,LH,s2,240
22,292.5,3.574298640387856,8.80635000526635,0.5729521744476938,0.8644220423931269,LH,s3,240
22,292.5,0.4621360582075759,6.210923910548762,0.5373633304431003,0.8876390951508556,LH,s4,240
22,292.5,-2.626702635607818,5.694141578107844,0.5066118835451418,0.8644715481761391,LH,s5,240
22,292.5,0.10715439902296159,8.71850393943282,0.708417527609098,1.1634810586031203,LH,s6,240
6,292.5,-0.17933641226943828,1.2940539983899377,0.0953829309516239,0.1518813623405099,LL,s1,240
6,292.5,-0.23848091008359337,0.8008870320074883,0.04775806493205088,0.06463555912420203,LL,s2,240
6,292.5,0.20648323372131644,2.6917217975844134,0.19369201024661148,0.31640648617749084,LL,s3,240
6,292.5,-0.11565844612225906,2.634075603996379,0.1614370300947851,0.27849246295740504,LL,s4,240
6,292.5,-0.2907372319160701,5.326215654780884,0.4157938144299459,0.7254434829080909,LL,s5,240
6,292.5,0.16098659036587562,4.880494394322903,0.2398432254346597,0.3910870074629769,LL,s6,240
15,337.5,-0.5294984015134827,5.396384854858612,0.2836167373914979,0.49905972151587025,HH,s1,240
15,337.5,0.49073382814076416,10.276999454136215,0.6983585616591826,1.5320502583693563,HH,s2,240
15,337.5,-0.5462617250266917,8.693052675711138,0.4499905919624091,0.8727219943246953,HH,s3,240
15,337.5,-0.3869615604288793,9.015657322530224,0.5381829665075947,0.9824397776890184,HH,s4,240
15,337.5,0.5215090911636027,8.83719423487178,0.6015893379333203,1.1036411156207915,HH,s5,240
15,337.5,0.2515338922382113,14.916842423904601,0.987133231768664,2.649672020059938,HH,s6,240
23,337.5,-2.3579113389546396,3.1812469427821344,0.19036751319639214,0.23566527643206184,LH,s1,240
23,337.5,4.292362164975583,7.503053966034807,0.40790262236606656,0.6798856494277841,LH,s2,240
23,337.5,-10.029591477324098,7.076236046417802,0.6355191929588824,0.6311398293331775,LH,s3,240
23,337.5,-1.943504058502954,7.469451832920903,0.6274414204501744,0.8945660011100315,LH,s4,240
23,337.5,-6.049728605263209,7.831299376295126,0.6202715733459248,0.9462185336226097,LH,s5,240
23,337.5,-5.55789421733662,9.07198951080842,0.6412263764146484,0.8780924803655947,LH,s6,240
7,337.5,0.44086495187626223,2.1912375107432824,0.14942050839367368,0.24420685349103113,LL,s1,240
7,337.5,-0.16248243222137596,2.125099505307571,0.07830975259253378,0.12274546491015671,LL,s2,240
7,337.5,-0.6785003316120394,4.624787783805425,0.26079671619954004,0.4065553501155398,LL,s3,240
7,337.5,-0.011856881368304087,4.714060786435722,0.354291868503324,0.6550717064263236,LL,s4,240
7,337.5,0.12545076347389839,4.2213840040321875,0.3013417754904982,0.45147614706138683,LL,s5,240
7,337.5,0.5760760431857336,6.496664380172435,0.5766170120772993,0.9825522142315521,LL,s6,240
