,sub,Hue Angle,Prior
1189,sAVG,218.0001,0.0023221386867820063
1190,sAVG,220.0001,0.0021949423146865733
1191,sAVG,222.0001,0.002074840507112952
1192,sAVG,224.0001,0.001961557497351574
1193,sAVG,226.0001,0.0018548157123652268
1194,sAVG,228.0001,0.0017543375357850664
1195,sAVG,230.0001,0.0016598469058880863
1196,sAVG,232.0001,0.0015710707503760368
1197,sAVG,234.0001,0.0014877402614013584
1198,sAVG,236.0001,0.0014095920157410843
1199,sAVG,238.0001,0.001336368946289016
1200,sAVG,240.0001,0.0012678211721112971
1201,sAVG,242.0001,0.0012037066951877567
1202,sAVG,244.0001,0.0011437919726434373
1203,sAVG,246.0001,0.0010878523737689132
1204,sAVG,248.0001,0.0010356725314452542
1205,sAVG,250.0001,0.0009870465977438825
1206,sAVG,252.0001,0.0009417784134793507
1207,sAVG,254.0001,0.0008996816013719637
1208,sAVG,256.0001,0.0008605795922456802
1209,sAVG,258.0001,0.000824305593363239
1210,sAVG,260.0001,0.000790702507603355
1211,sAVG,262.0001,0.0007596228117311744
1212,sAVG,264.0001,0.0007309284015192759
1213,sAVG,266.0001,0.0007044904109569321
1214,sAVG,268.0001,0.0006801890122532976
1215,sAVG,270.0001,0.0006579132028070464
1216,sAVG,272.0001,0.0006375605847905131
1217,sAVG,274.0001,0.0006190371424886567
1218,sAVG,276.0001,0.0006022570220485623
1219,sAVG,278.0001,0.0005871423178387214
1220,sAVG,280.0001,0.0005736228691923463
1221,sAVG,282.0001,0.0005616360709178154
1222,sAVG,284.0001,0.0005511267006029237
1223,sAVG,286.0001,0.0005420467654179934
1224,sAVG,288.0001,0.0005343553708350247
1225,sAVG,290.0001,0.0005280186134242774
1226,sAVG,292.0001,0.0005230094996633267
1227,sAVG,294.0001,0.0005193078924936662
1228,sAVG,296.0001,0.000516900487182509
1229,sAVG,298.0001,0.000515780817888299
1230,sAVG,300.0001,0.0005159492961827645
1231,sAVG,302.0001,0.0005174132826448397
1232,sAVG,304.0001,0.0005201871925066609
1233,sAVG,306.0001,0.0005242926361928931
1234,sAVG,308.0001,0.0005297585954450954
1235,sAVG,310.0001,0.0005366216355555144
1236,sAVG,312.0001,0.0005449261540418565
1237,sAVG,314.0001,0.0005547246658680584
1238,sAVG,316.0001,0.0005660781250471236
1239,sAVG,318.0001,0.0005790562821415958
1240,sAVG,320.0001,0.0005937380767956129
1241,sAVG,322.0001,0.0006102120639798239
1242,sAVG,324.0001,0.0006285768720966247
1243,sAVG,326.0001,0.000648941690467998
1244,sAVG,328.0001,0.0006714267830016594
1245,sAVG,330.0001,0.0006961640239935444
1246,sAVG,332.0001,0.0007232974510671063
1247,sAVG,334.0001,0.0007529838291645527
1248,sAVG,336.0001,0.0007853932182860818
1249,sAVG,338.0001,0.0008207095363163358
1250,sAVG,340.0001,0.0008591311067818201
1251,sAVG,342.0001,0.000900871179751422
1252,sAVG,344.0001,0.0009461584123315246
1253,sAVG,346.0001,0.0009952372933298755
1254,sAVG,348.0001,0.0010483684946870136
1255,sAVG,350.0001,0.0011058291302264895
1256,sAVG,352.0001,0.0011679129001893197
1257,sAVG,354.0001,0.0012349300979372167
1258,sAVG,356.0001,0.0013072074531859904
1259,sAVG,358.0001,0.0013850877842284297
