,sub,Hue Angle,Prior
16,s2,32.0001,0.014391238309188042
17,s2,34.0001,0.014115609132082924
18,s2,36.0001,0.013787406423792722
19,s2,38.0001,0.013410949111413422
20,s2,40.0001,0.012991076418306218
21,s2,42.0001,0.012533037899884298
22,s2,44.0001,0.012042378083269923
23,s2,46.0001,0.011524819424714304
24,s2,48.0001,0.01098614717294237
25,s2,50.0001,0.010432099458358705
26,s2,52.0001,0.009868265539299259
27,s2,54.0001,0.00929999465441113
28,s2,56.0001,0.008732317385146132
29,s2,58.0001,0.008169880855714184
30,s2,60.0001,0.007616898520221791
31,s2,62.0001,0.007077114736044575
32,s2,64.0001,0.0065537838226353675
33,s2,66.0001,0.006049662874792464
34,s2,68.0001,0.005567017252130934
35,s2,70.0001,0.00510763740956026
36,s2,72.0001,0.004672865568839025
37,s2,74.0001,0.004263630655525959
38,s2,76.0001,0.0038804899312479342
39,s2,78.0001,0.003523675826928927
40,s2,80.0001,0.003193146614461826
41,s2,82.0001,0.0028886397262528336
42,s2,84.0001,0.0026097267268097575
43,s2,86.0001,0.0023558691400225296
44,s2,88.0001,0.0021264745216610977
45,s2,90.0001,0.0019209523206741074
46,s2,92.0001,0.0017387691774100496
47,s2,94.0001,0.0015795033452072472
48,s2,96.0001,0.001442897878916954
49,s2,98.0001,0.0013289120975400882
50,s2,100.0001,0.0012377705900684008
51,s2,102.0001,0.001170008691541046
52,s2,104.0001,0.0011265129161349004
53,s2,106.0001,0.0011085543123640804
54,s2,108.0001,0.001117812131973027
55,s2,110.0001,0.0011563846240970753
56,s2,112.0001,0.0012267832416745549
57,s2,114.0001,0.0013319061563120526
58,s2,116.0001,0.0014749868131566312
59,s2,118.0001,0.0016595134197023233
60,s2,120.0001,0.0018891158526095724
61,s2,122.0001,0.0021674175731060557
62,s2,124.0001,0.002497851825756805
63,s2,126.0001,0.002883443674820462
64,s2,128.0001,0.0033265622639793587
65,s2,130.0001,0.003828650951348667
66,s2,132.0001,0.004389946471907905
67,s2,134.0001,0.005009201731073518
68,s2,136.0001,0.005683429882824435
69,s2,138.0001,0.006407689594892208
70,s2,140.0001,0.007174932445726065
71,s2,142.0001,0.007975932867882457
72,s2,144.0001,0.008799318680363611
73,s2,146.0001,0.009631715917813501
74,s2,148.0001,0.010458015441121458
75,s2,150.0001,0.01126176099693283
76,s2,152.0001,0.012025649501116491
77,s2,154.0001,0.012732125066846976
78,s2,156.0001,0.013364039531339102
79,s2,158.0001,0.013905344856748702
80,s2,160.0001,0.014341777637852533
81,s2,162.0001,0.014661493728512059
82,s2,164.0001,0.014855612129022906
83,s2,166.0001,0.014918631855965401
84,s2,168.0001,0.014848693281090888
85,s2,170.0001,0.014647665762144518
86,s2,172.0001,0.01432105539159708
87,s2,174.0001,0.013877739262450294
88,s2,176.0001,0.013329544630826844
89,s2,178.0001,0.012690701648985846
90,s2,180.0001,0.011977206049841904
91,s2,182.0001,0.01120613267749443
92,s2,184.0001,0.0103949418208496
93,s2,186.0001,0.009560818024804567
94,s2,188.0001,0.008720075859996968
95,s2,190.0001,0.007887659718700797
96,s2,192.0001,0.0070767559208049485
97,s2,194.0001,0.006298526160372329
98,s2,196.0001,0.005561962448019244
99,s2,198.0001,0.0048738559175839765
100,s2,200.0001,0.004238865681589152
101,s2,202.0001,0.0036596696296990494
102,s2,204.0001,0.003137176737605534
103,s2,206.0001,0.0026707799669836124
104,s2,208.0001,0.0022586299183813357
105,s2,210.0001,0.0018979116817062608
106,s2,212.0001,0.0015851104069236146
107,s2,214.0001,0.0013162545926638158
108,s2,216.0001,0.0010871296106287514
109,s2,218.0001,0.0008934572676353305
110,s2,220.0001,0.0007310400557915624
111,s2,222.0001,0.0005958710381575304
112,s2,224.0001,0.00048421201985046294
113,s2,226.0001,0.00039264378041933997
114,s2,228.0001,0.000318092753218566
115,s2,230.0001,0.00025783871875571763
116,s2,232.0001,0.00020950793047261223
117,s2,234.0001,0.0001710557116463262
118,s2,236.0001,0.00014074204059811614
119,s2,238.0001,0.00011710305348360473
120,s2,240.0001,9.892079835236545e-05
121,s2,242.0001,8.519301301056727e-05
122,s2,244.0001,7.510419945257757e-05
123,s2,246.0001,6.799884348286336e-05
124,s2,248.0001,6.335728395868194e-05
125,s2,250.0001,6.0774469067922875e-05
126,s2,252.0001,5.994163983768053e-05
127,s2,254.0001,6.0630843751244275e-05
128,s2,256.0001,6.26820931148806e-05
129,s2,258.0001,6.599293304859984e-05
130,s2,260.0001,7.051016299276565e-05
131,s2,262.0001,7.622345505990984e-05
132,s2,264.0001,8.316062551640695e-05
133,s2,266.0001,9.13843366853563e-05
134,s2,268.0001,0.0001009900314559472
135,s2,270.0001,0.00011210492831500585
136,s2,272.0001,0.0001248879292387558
137,s2,274.0001,0.00013953031445777814
138,s2,276.0001,0.00015625711612232338
